date,pop,plot,quadrat,notes,red.picks,red.mortality,wood.picks,wood.mortality,yellow.picks,yellow.mortality,green.picks,green.mortality,blue.picks,blue.mortality,wood.germ,red.germ,yellow.germ,green.germ,blue.germ 
11/17/2017,TM2,upper,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,0.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA
11/17/2017,TM2,upper,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,NA
11/17/2017,TM2,upper,1.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
11/17/2017,TM2,upper,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA
11/17/2017,TM2,upper,2.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA
11/17/2017,TM2,upper,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA
11/17/2017,TM2,upper,3.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA
11/17/2017,TM2,upper,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA
11/17/2017,TM2,upper,4.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,NA
11/17/2017,TM2,upper,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA
11/17/2017,TM2,upper,5.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA
11/17/2017,TM2,upper,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA
11/17/2017,TM2,upper,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA
11/17/2017,TM2,upper,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA
11/17/2017,TM2,upper,7.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,NA,NA,NA
11/17/2017,TM2,upper,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,NA,NA,NA
11/17/2017,TM2,upper,8.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA
11/17/2017,TM2,upper,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA
11/17/2017,TM2,upper,9.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA
11/17/2017,TM2,upper,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA
11/17/2017,TM2,upper,10.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
11/17/2017,TM2,upper,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
11/17/2017,TM2,upper,11.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
11/17/2017,TM2,upper,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA
11/17/2017,TM2,upper,12.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA
11/17/2017,TM2,upper,13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA
11/17/2017,TM2,upper,13.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
11/17/2017,TM2,upper,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA
11/17/2017,TM2,upper,14.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA
11/17/2017,TM2,upper,15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA
11/17/2017,TM2,upper,15.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA
11/17/2017,TM2,upper,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA
11/17/2017,TM2,upper,16.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,17,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,17.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,18,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,18.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,19,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,upper,19.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,0.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,1.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,2.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
11/17/2017,TM2,lower,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,NA,NA,NA
11/17/2017,TM2,lower,3.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA
11/17/2017,TM2,lower,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA
11/17/2017,TM2,lower,4.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA
11/17/2017,TM2,lower,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,NA,NA
11/17/2017,TM2,lower,5.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA
11/17/2017,TM2,lower,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,NA,NA
11/17/2017,TM2,lower,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA
11/17/2017,TM2,lower,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,NA,NA,NA
11/17/2017,TM2,lower,7.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,NA,NA,NA
11/17/2017,TM2,lower,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,NA,NA,NA
11/17/2017,TM2,lower,8.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA
11/17/2017,TM2,lower,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA
11/17/2017,TM2,lower,9.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA
11/17/2017,TM2,lower,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA
11/17/2017,TM2,lower,10.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA
11/17/2017,TM2,lower,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,NA,NA,NA
11/17/2017,TM2,lower,11.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA
11/17/2017,TM2,lower,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
